# name	partition	backend	image	gpus	cpus	time
dgx2q	dgx2q	cuda	cuda-amd64	1	2	00:10:00
hgx2q	hgx2q	cuda	cuda-amd64	1	2	00:10:00
a100q	a100q	cuda	cuda-amd64	1	2	00:10:00
h200q	h200q	cuda	cuda-amd64	1	2	00:10:00
gh200q	gh200q	cuda	cuda-arm64	1	2	00:10:00
a40q	a40q	cuda	cuda-arm64	1	2	00:10:00
aarchq	aarchq	cuda	cuda-arm64	1	2	00:10:00
huaq	huaq	cuda	cuda-arm64	1	2	00:10:00
mi210q	mi210q	hip	rocm-amd64	1	2	00:10:00
flowq	flowq	hip	rocm-amd64	1	2	00:10:00
mi100q	mi100q	hip	rocm-amd64	1	2	00:10:00
mi50q	mi50q	hip	rocm-amd64	1	2	00:10:00
amdgpuq	amdgpuq	hip	rocm-amd64	1	2	00:10:00
defq	defq	hip	rocm-amd64	1	2	00:10:00
